Date,Adj Close
2021-10-06,4171.7099609375
2021-10-07,4228.02001953125
2021-10-08,4238.0
2021-10-11,4279.8701171875
2021-10-12,4263.7998046875
2021-10-13,4243.919921875
2021-10-14,4259.1298828125
2021-10-15,4261.81982421875
2021-10-18,4248.330078125
2021-10-19,4276.259765625
2021-10-20,4287.52001953125
2021-10-21,4218.6298828125
2021-10-22,4196.9599609375
2021-10-25,4254.97998046875
2021-10-26,4235.8701171875
2021-10-27,4229.52978515625
2021-10-28,4189.66015625
2021-10-29,4150.0
2021-11-01,4221.490234375
2021-11-02,4207.52978515625
2021-11-03,4184.8701171875
2021-11-05,4174.759765625
2021-11-08,4218.27001953125
2021-11-09,4187.330078125
2021-11-10,4172.47021484375
2021-11-11,4189.35009765625
2021-11-12,4121.66015625
2021-11-15,4135.14013671875
2021-11-16,4120.02001953125
2021-11-17,4149.02001953125
2021-11-18,4093.85009765625
2021-11-19,4016.469970703125
2021-11-22,3872.77001953125
2021-11-23,3960.330078125
2021-11-24,3950.56005859375
2021-11-25,3947.820068359375
2021-11-26,3810.97998046875
2021-11-29,3879.5400390625
2021-11-30,3890.590087890625
2021-12-01,3959.2900390625
2021-12-02,3947.5400390625
2021-12-03,3913.06005859375
2021-12-06,3810.10009765625
2021-12-07,3873.199951171875
2021-12-08,3773.610107421875
2021-12-09,3813.2900390625
2021-12-10,3760.22998046875
2021-12-13,3618.31005859375
2021-12-14,3619.389892578125
2021-12-15,3621.820068359375
2021-12-16,3750.360107421875
2021-12-17,3723.27001953125
2021-12-20,3669.050048828125
2021-12-21,3693.02001953125
2021-12-22,3746.75
2021-12-23,3704.60009765625
2021-12-24,3702.719970703125
2021-12-27,3740.6298828125
2021-12-28,3777.56005859375
2021-12-29,3741.070068359375
2021-12-30,3787.260009765625
2022-01-03,3852.5
2022-01-04,3873.489990234375
2022-01-05,3815.050048828125
2022-01-06,3753.2900390625
2022-01-10,3738.679931640625
2022-01-11,3785.2900390625
2022-01-12,3829.949951171875
2022-01-13,3674.72998046875
2022-01-14,3596.97998046875
2022-01-17,3560.35009765625
2022-01-18,3328.93994140625
2022-01-19,3436.820068359375
2022-01-20,3516.02001953125
2022-01-21,3439.25
2022-01-24,3235.280029296875
2022-01-25,3258.739990234375
2022-01-26,3357.659912109375
2022-01-27,3455.929931640625
2022-01-28,3488.60009765625
2022-01-31,3530.3798828125
2022-02-01,3548.169921875
2022-02-02,3543.800048828125
2022-02-03,3471.179931640625
2022-02-04,3471.010009765625
2022-02-07,3470.780029296875
2022-02-08,3551.64990234375
2022-02-09,3638.929931640625
2022-02-10,3655.760009765625
2022-02-11,3546.6201171875
2022-02-14,3481.3798828125
2022-02-15,3600.2900390625
2022-02-16,3646.409912109375
2022-02-17,3511.080078125
2022-02-18,3393.31005859375
2022-02-21,3036.8798828125
2022-02-22,3084.739990234375
2022-02-24,2058.1201171875
2022-02-25,2470.47998046875
2022-03-24,2578.510009765625
2022-03-25,2484.1298828125
2022-03-28,2430.699951171875
2022-03-29,2408.489990234375
2022-03-30,2513.030029296875
2022-03-31,2703.510009765625
2022-04-01,2759.639892578125
2022-04-04,2787.68994140625
2022-04-05,2662.7900390625
2022-04-06,2611.429931640625
2022-04-07,2635.389892578125
2022-04-08,2592.719970703125
2022-04-11,2557.159912109375
2022-04-12,2540.989990234375
2022-04-13,2528.419921875
2022-04-14,2404.72998046875
2022-04-15,2424.989990234375
2022-04-18,2342.6298828125
2022-04-19,2317.4599609375
2022-04-20,2330.72998046875
2022-04-21,2271.050048828125
2022-04-22,2232.22998046875
2022-04-25,2186.219970703125
2022-04-26,2318.4599609375
2022-04-27,2424.280029296875
2022-04-28,2383.659912109375
2022-04-29,2445.169921875
2022-05-04,2373.159912109375
2022-05-05,2404.800048828125
2022-05-06,2393.030029296875
